Date,FTR,HTP,ATP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W
2010-04-03,1,0.0654296875,0.0302734375,15,7,1,1,0,0,0,0,0,0,0.0390625,-0.021484375,0.03515625,0.0078125,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
2010-04-03,0,0.03125,0.0498046875,9,6,0,0,0,0,0,0,0,0,-0.01953125,0.0107421875,-0.0185546875,0.0029296875,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
2010-04-03,0,0.0234375,0.0546875,1,10,0,0,0,0,0,0,0,0,-0.0322265625,0.0185546875,-0.03125,-0.0087890625,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
2010-04-03,0,0.06611570247933884,0.06519742883379247,15,10,1,1,0,0,0,0,0,0,0.046831955922865015,0.048668503213957756,0.0009182736455463727,0.004591368227731863,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
2010-04-03,0,0.0202020202020202,0.03764921946740129,3,7,0,0,0,0,0,0,0,0,-0.029384756657483926,-0.013774104683195591,-0.017447199265381085,-0.003673094582185491,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
2010-04-03,1,0.03856749311294766,0.024793388429752067,8,3,0,0,0,0,0,0,1,0,-0.002754820936639118,-0.032139577594123045,0.013774104683195591,0.004591368227731863,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2010-04-03,1,0.032139577594123045,0.05325987144168962,8,12,0,0,0,0,1,0,0,0,-0.008264462809917356,0.023875114784205693,-0.021120293847566578,-0.003673094582185491,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
2010-04-04,0,0.04132231404958677,0.049586776859504134,5,9,0,0,0,0,0,0,0,0,-0.003673094582185491,0.01928374655647383,-0.008264462809917356,-0.003673094582185491,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
2010-04-04,0,0.04499540863177227,0.024793388429752067,11,0,0,0,0,0,0,0,1,1,0.007346189164370982,-0.015610651974288337,0.0202020202020202,0.0101010101010101,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
2010-04-04,1,0.03764921946740129,0.02846648301193756,4,6,0,0,0,0,0,0,0,0,-0.0018365472910927454,-0.030303030303030304,0.009182736455463726,-0.0018365472910927454,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2010-04-10,0,0.024793388429752067,0.02203856749311295,3,1,0,0,1,0,0,0,0,0,-0.032139577594123045,-0.03122130394857668,0.002754820936639118,0.0018365472910927454,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2010-04-10,1,0.024793388429752067,0.032139577594123045,0,8,0,0,1,1,0,0,0,0,-0.015610651974288337,-0.008264462809917356,-0.007346189164370982,-0.007346189164370982,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
2010-04-11,0,0.03764921946740129,0.06611570247933884,7,15,0,0,0,0,1,1,0,0,-0.013774104683195591,0.046831955922865015,-0.02846648301193756,-0.007346189164370982,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
2010-04-11,0,0.04757785467128028,0.03633217993079585,7,4,0,0,0,0,0,0,1,0,0.018166089965397925,-0.0017301038062283735,0.011245674740484426,0.0025951557093425587,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
2010-04-11,1,0.053633217993079574,0.039792387543252594,12,3,0,0,0,0,0,0,0,0,0.02422145328719723,-0.003460207612456747,0.013840830449826988,0.007785467128027682,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
2010-04-11,0,0.027681660899653977,0.037197231833910036,8,8,0,0,0,0,0,0,0,0,-0.019896193771626297,-0.0025951557093425587,-0.009515570934256055,0.0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
2010-04-13,1,0.06401384083044982,0.027681660899653977,13,3,0,0,0,0,0,0,0,0,0.046712802768166084,-0.021626297577854673,0.03633217993079585,0.008650519031141867,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
2010-04-14,0,0.04757785467128028,0.043252595155709346,6,9,0,0,0,0,0,0,0,0,0.010380622837370242,0.006920415224913494,0.004325259515570932,-0.0025951557093425587,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
2010-04-14,1,0.0527681660899654,0.06141868512110727,12,13,1,0,0,0,1,0,0,0,0.023356401384083042,0.035467128027681656,-0.008650519031141867,-0.0008650519031141854,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
2010-04-14,0,0.026816608996539787,0.019896193771626297,3,4,0,0,0,0,0,0,0,0,-0.029411764705882353,-0.027681660899653977,0.006920415224913494,-0.0008650519031141854,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False
